location_id,usaf,wban,isd_ids,lon,dist_km,elev_m,utc_offset_hours,begin_verified
424,725315,94870,72531594870|72531599999|99999994870,-88.275,9.13,226.5,-6.0,True
425,720542,00166,72054200166|72054299999|99999900166,-97.967,13.03,375.2,-6.0,False
426,710420,99999,71042099999,-123.0,36.92,3.0,-8.0,False
427,723440,13964,72344013964|72344099999|99999913964,-94.365,1.89,136.7,-6.0,True
428,744904,94723,74490494723|74490499999|99999994723,-71.126,42.82,41.5,-5.0,True
429,723434,03973,72343403973|72343499999|99999903973,-94.119,3.66,412.4,-6.0,True
430,723550,13945,72355013945|72355099999|99999913945,-98.4,4.14,362.4,-6.0,True
431,723271,99999,72327199999,-86.887,29.96,150.9,-6.0,False
432,723656,23049,72365623049|72365699999|99999923049,-106.096,11.77,1916.3,-7.0,True
433,722748,03914,72274803914|72274899999|99999903914,-111.767,35.22,445.6,-7.0,True
434,725750,24126,72575024126|72575099999|99999924126,-112.017,5.6,1356.1,-7.0,True
435,726055,04743,72605504743|72605599999|99999904743,-70.817,50.97,30.5,-5.0,True
436,726579,94963,72657994963|72657999999|99999994963,-93.471,12.29,275.7,-6.0,True
437,725036,14757,72503614757|72503699999|99999914757,-73.882,42.07,46.6,-5.0,True
438,720276,12983,72027612983|72027699999|99999912983,-98.129,32.9,24.4,-6.0,False
439,726375,94817,72637594817|72637599999|99999994817,-83.41,23.36,295.4,-5.0,True
440,747870,12834,74787012834|74787099999|99999912834,-81.072,3.06,7.9,-5.0,False
441,727845,24163,72784524163|72784599999|99999924163,-119.118,9.2,122.1,-8.0,True
442,727450,14913,72745014913|72745099999|99999914913,-92.187,8.72,433.4,-6.0,True
443,712110,99999,71211099999,-123.3,25.36,5.0,-8.0,True
444,713140,99999,71314099999,-79.55,48.35,289.0,-5.0,False
445,725347,14880,72534714880|72534799999|99999914880,-87.863,6.21,216.5,-6.0,True
446,722175,13860,72217513860|72217599999|99999913860,-83.6,6.44,89.6,-5.0,True
447,724833,23206,72483323206|72483399999|99999923206,-121.3,5.66,30.2,-8.0,False
448,747950,12867,74795012867|74795099999|99999912867,-80.6,14.95,2.4,-5.0,True
449,723147,53870,72314753870|72314799999|99999953870,-81.156,6.35,241.5,-5.0,False
450,722440,12918,72244012918|72244099999|99999912918,-95.282,33.13,13.2,-6.0,False
451,725970,24225,72597024225|72597099999|99999924225,-122.877,4.81,400.3,-8.0,True
452,723762,93244,72376293244|72376299999|99999993244,-120.076,40.17,204.5,-8.0,False
453,725570,14943,72557014943|72557099999|99999914943,-96.379,11.53,332.8,-6.0,True
454,720614,00205,72061400205|72061499999|99999900205,-121.351,24.44,37.2,-8.0,False
455,720388,00469,72038800469|72038899999|99999900469,-122.287,23.04,164.3,-8.0,False
456,719050,99999,71905099999,-74.033,44.02,82.3,-5.0,True
457,725053,94728,72505394728|72505399999|99999994728,-73.969,22.62,42.7,-5.0,False
458,722053,12841,72205312841|72205399999|99999912841,-81.335,28.34,31.7,-5.0,True
459,749484,00395,74948400395|74948499999|99999900395,-121.597,55.41,86.3,-8.0,False
460,720567,24180,72056724180|72056799999|99999924180,-112.062,53.44,1288.1,-7.0,False
461,722250,13829,72225013829|72225099999|99999913829,-84.991,55.69,70.7,-6.0,True
462,725054,64710,72505464710|72505499999|99999964710,-71.491,16.83,134.4,-5.0,True
463,722593,03985,72259303985|72259399999|99999903985,-97.308,17.57,213.4,-6.0,False
464,725074,54752,72507454752|72507499999|99999954752,-71.412,11.82,5.8,-5.0,True
465,745310,93065,74531093065|74531099999|99999993065,-104.817,45.61,2003.2,-7.0,True
466,726575,94960,72657594960|72657599999|99999994960,-93.351,5.44,263.4,-6.0,True
467,724363,13803,72436313803|72436399999|99999913803,-85.9,54.99,200.0,-5.0,True
468,723407,03953,72340703953|72340799999|99999903953,-90.644,3.64,78.9,-6.0,True
469,725374,94889,72537494889|72537499999|99999994889,-83.74,41.73,250.6,-5.0,True
470,722470,03901,72247003901|72247099999|99999903901,-94.714,15.03,107.3,-6.0,True
471,727884,99999,72788499999,-119.304,14.71,120.1,-8.0,False
472,722404,13941,72240413941|72240499999|99999913941,-93.143,6.63,5.2,-6.0,True
473,727945,04205,72794504205|72794599999|99999904205,-122.159,53.81,41.8,-8.0,True
474,725418,54823,72541854823|72541899999|99999954823,-83.435,42.4,186.5,-5.0,True
475,744665,04838,74466504838|74466599999|99999904838,-87.905,33.02,191.6,-6.0,False
476,726603,04974,72660304974|72660399999|99999904974,-93.033,10.21,249.9,-6.0,True
477,724100,13733,72410013733|72410099999|99999913733,-79.206,8.72,274.9,-5.0,True
478,720374,92825,72037492825|72037499999|99999992825,-82.449,31.96,2.4,-5.0,False
479,726625,24006,72662524006|72662599999|99999924006,-103.1,12.87,999.1,-7.0,True
480,746936,03712,74693603712|74693699999|99999903712,-78.734,40.74,60.4,-5.0,False
481,747808,63803,74780863803|74780899999|99999963803,-83.963,22.96,323.4,-5.0,False
