location_id,icao,lcd_id,dist_km,elev_m,archive_begin,tier
115,PHF,USW00093741,5.3,13.0,1972-12-31,1
116,BRO,USW00012919,7.5,6.0,1947-01-01,1
117,OJC,USW00003967,15.8,334.0,1972-12-31,1
118,WHP,USW00023152,19.0,306.0,1999-01-14,1
119,PVD,USW00014765,11.5,19.0,1948-01-01,1
120,CHA,USW00013882,9.7,210.0,1932-12-31,1
121,OKB,USW00053121,3.8,9.0,1983-11-03,1
122,JAN,USW00003940,10.1,101.0,1942-09-01,1
123,FLL,USW00012849,5.4,1.0,1945-12-31,1
124,STS,USW00023213,11.0,31.346924,1943-04-04,1
125,FPR,USW00012895,25.1,7.0,1988-01-14,1
126,CNO,USW00003179,9.8,198.0,1977-07-04,1
127,VUO,USW00094298,2.1,8.0,1996-09-30,1
128,FMY,USW00012835,9.1,5.0,1919-08-01,1
129,YKN,USW00094911,87.7,389.5385,1972-12-31,1
130,SGF,USW00013995,9.3,390.0,1948-01-01,1
131,SAC,USW00023232,15.3,8.0,1931-01-01,1
132,SLE,USW00024232,4.5,61.0,1928-06-25,1
133,WJF,USW00003159,8.4,715.0,1974-05-31,1
134,EUG,USW00024221,12.8,114.0,1948-01-01,1
135,WJF,USW00003159,20.3,715.0,1974-05-31,1
136,SNS,USW00023233,4.5,16.144438,1941-08-05,1
137,CEF,USW00014775,11.3,75.0,1941-04-01,1
138,CYS,USW00024018,67.5,1871.0,1934-01-04,1
139,HWD,USW00093228,3.7,8.88734,1972-12-31,1
140,RFD,USW00094822,8.9,220.0,1951-03-01,1
141,DCA,USW00013743,4.8,20.0,1929-07-01,1
142,CRQ,USW00003177,18.1,100.0,1972-12-31,1
143,TKI,USW00053914,5.0,179.0,1997-01-23,1
144,MDW,USW00014819,39.9,188.0,1928-10-04,1
145,BDR,USW00094702,6.4,5.0,1942-12-08,1
146,CDW,USW00054743,10.4,53.0,1981-08-05,1
147,SYR,USW00014771,7.8,124.0,1930-01-01,1
148,DAL,USW00013960,25.2,148.0,1930-01-01,1
149,DAY,USW00093815,16.5,305.0,1929-12-31,1
150,SVN,USW00003822,9.3,13.0,1944-03-01,1
151,BNA,USW00013897,75.4,180.0,1934-01-01,1
152,BMQ,USW00003999,64.3,389.0,1996-10-01,1
153,NGU,USW00013750,11.4,5.0,1945-02-01,1
154,MFE,USW00012959,3.1,33.0,1972-12-31,1
155,DET,USW00014822,11.7,190.0,1930-07-01,1
156,CAE,USW00013883,10.1,69.0,1942-04-23,1
157,HVN,USW00014758,6.0,4.0,1948-01-01,1
158,ACT,USW00013959,10.9,155.0,1929-03-11,1
159,NTD,USW00093111,26.6,2.0,1946-03-01,1
160,CID,USW00014990,11.6,265.0,1972-12-31,1
161,CHS,USW00013880,17.0,10.024509,1945-01-01,1
162,HJO,USW00053119,29.7,76.36669,1998-05-01,1
163,TOP,USW00013996,6.2,270.0,1948-01-01,1
164,GNV,USW00012816,6.5,46.0,1943-11-01,1
165,SMF,USW00093225,27.0,7.0,1972-12-31,1
166,DAL,USW00013960,14.8,148.0,1930-01-01,1
167,FXE,USW00012885,12.8,4.0,1984-09-08,1
168,HPN,USW00094745,14.2,134.0,1948-12-31,1
169,CCR,USW00023254,2.4,4.874773,1969-01-01,1
170,BDL,USW00014740,19.4,55.0,1941-09-12,1
171,LFT,USW00013976,4.1,14.588288,1937-05-01,1
172,MAF,USW00023023,13.4,868.9406,1930-06-01,1
173,PHX,USW00023183,39.5,337.0,1931-01-01,1
174,DTO,USW00003991,6.4,200.71758,1996-07-01,1
175,DAG,USW00023161,58.3,587.0,1931-12-21,1
176,EVV,USW00093817,9.2,117.0,1901-01-01,1
177,ABI,USW00013962,6.4,544.9975,1930-08-11,1
178,AHN,USW00013873,2.9,247.0,1955-09-01,1
179,APC,USW00093227,11.7,7.9653864,1972-12-31,1
180,ABE,USW00014737,5.9,117.0,1929-12-31,1
181,PWA,USW00003954,39.4,396.0,1980-10-23,1
182,BPT,USW00012917,17.2,4.5784636,1944-03-04,1
183,BNA,USW00013897,40.6,180.0,1934-01-01,1
184,YIP,USW00014853,18.1,215.0,1947-12-31,1
185,SPI,USW00093822,7.5,181.0,1935-11-01,1
186,PIA,USW00014842,8.5,205.0,1935-04-17,1
187,SLC,USW00024127,66.2,1288.0,1930-02-06,1
188,FUL,USW00003166,22.6,29.0,1972-12-31,1
189,COU,USW00003945,18.1,271.0,1969-11-01,1
190,LAN,USW00014836,5.6,264.0,1948-01-01,1
191,FAR,USW00014914,5.6,274.0,1947-12-31,1
192,ILM,USW00013748,6.4,10.0,1942-06-01,1
193,OKB,USW00053121,6.9,9.0,1983-11-03,1
194,LSE,USW00014920,99.3,198.0,1933-05-22,1
195,MAF,USW00023023,18.8,868.9406,1930-06-01,1
196,MHT,USW00014710,7.2,71.0,1947-12-31,1
197,DPA,USW00094892,14.4,231.0,1972-12-31,1
198,SLC,USW00024127,19.1,1288.0,1930-02-06,1
199,ATT,USW00013958,22.2,203.0,1938-04-01,1
200,PIE,USW00012873,12.7,3.0,1972-12-31,1
201,HVN,USW00014758,35.5,4.0,1948-01-01,1
202,TTD,USW00024242,5.9,-0.15002128,1948-01-01,1
203,APC,USW00093227,21.5,7.9653864,1972-12-31,1
204,BIL,USW00024033,4.2,1088.0,1935-05-01,1
205,BED,USW00014702,18.3,41.0,1943-02-05,1
206,PUB,USW00093058,10.5,1439.0,1942-10-01,1
207,GSO,USW00013723,16.7,270.0,1945-10-31,1
208,NFG,USW00053121,31.0,24.0,1966-07-01,1
209,CCR,USW00023254,21.7,4.874773,1969-01-01,1
210,DEN,USW00003017,33.7,1656.0,1974-11-12,1
211,PAE,USW00024222,10.0,185.0,1941-10-01,1
212,SPS,USW00013966,7.2,314.0,1933-01-01,1
213,MLB,USW00012838,9.4,11.0,1928-01-01,1
214,OSH,USW00094855,73.2,248.0,1972-12-31,1
215,PMP,USW00092805,1.7,7.0,1988-06-21,1
216,RVS,USW00053908,17.0,193.0,1980-10-15,1
217,DEN,USW00003017,56.1,1656.0,1974-11-12,1
218,DJT,USW00012844,5.7,6.0,1938-07-01,1
219,SMX,USW00023273,6.0,73.0,1948-01-01,1
220,MLI,USW00014923,10.2,181.0,1929-07-08,1
221,BIF,USW00023044,63.6,1203.0,1949-01-01,1
222,SFO,USW00023234,7.6,5.0,1932-01-01,1
223,SBN,USW00014848,6.4,237.0,1929-12-02,1
224,TPA,USW00012842,58.6,3.0,1937-04-01,1
225,ERI,USW00014860,9.5,225.0,1929-10-16,1
226,TYR,USW00013972,9.5,166.0,1934-09-16,1
227,HOU,USW00012918,8.2,14.0,1929-02-01,1
228,CLL,USW00003904,5.3,98.0,1929-07-25,1
229,ENW,USW00004845,9.7,219.0,1996-07-31,1
230,PDK,USW00053863,8.9,305.0,1981-08-01,1
231,FNT,USW00014826,7.2,233.0,1948-11-30,1
232,ROA,USW00013741,5.9,344.71243,1948-01-01,1
233,AQW,USW00054768,48.1,476.0,1972-12-31,1
234,DYS,USW00013962,119.7,545.0,1943-12-01,1
235,VUO,USW00094298,28.1,8.0,1996-09-30,1
236,LAW,USW00003950,4.5,338.0,1985-01-30,1
237,DEN,USW00003017,65.8,1656.0,1974-11-12,1
238,SNA,USW00093184,20.0,16.0,1940-06-17,1
239,DTW,USW00094847,16.3,195.0,1942-08-01,1
240,EET,USW00053864,73.3,172.0,1998-07-01,1
241,EWB,USW00094726,4.9,24.0,1972-12-31,1
242,OWD,USW00054704,17.6,15.0,1972-12-31,1
243,YKM,USW00024243,4.8,325.0,1909-03-01,1
244,SEA,USW00024233,13.6,137.0,1944-07-07,1
245,SMO,USW00093197,4.1,53.0,1972-12-31,1
246,ABQ,USW00023050,21.7,1620.0,1941-07-01,1
247,NYL,USW00003145,4.5,65.0,1977-01-27,1
