location_id,eccc_station_ids,primary_station_name,distance_km,elevation_m,utc_offset_hours
582,30266|27533|9032,HARROW CDA AUTO,18.26,191.0,-6
583,51938|52735|52728,MONO CENTRE,12.69,436.0,-5
584,27793|1865|46850,EDMONTON INTERNATIONAL CS,6.4,715.0,-8
585,10911|42183|52729,LAGOON CITY,14.93,220.7,-5
586,10999|41983|4789,LONDON CS,40.56,278.0,-5
587,2967|27476|10805,MOOSE JAW A,7.37,576.7,-7
588,9010|2171|52200,COP UPPER,22.28,1235.0,-8
589,1920|48550|46808,LLOYDMINSTER A,5.83,668.43,-7
590,6486|44503|52518,SYDNEY A,12.17,61.9,-4
591,47747|47727|48468,BLACK DIAMOND,12.24,1156.0,-8
592,27604|42183|7697,EGBERT CS,21.56,251.0,-5
593,4180|47547|50460,TIMMINS VICTOR POWER A,10.65,294.7,-5
594,26777|45309|51638,BEAUCEVILLE,13.48,229.2,-5
595,138|6813|45627,BALLENAS ISLAND,12.1,14.51,-8
596,27604|42183|50637,EGBERT CS,24.14,251.0,-5
597,1868|1873|27214,EDMONTON NAMAO A,17.21,687.9,-8
598,4841|5097|51459,TORONTO BUTTONVILLE A,29.39,198.1,-5
599,10973|10088|7733,BEAUSOLEIL,10.78,183.0,-5
