location_id,eccc_station_id,station_name,candidate_rank,lon,dist_km,elev_m,elevation_difference_m,start_year,end_year,utc_offset_hours
350,43763,PETERBOROUGH TRENT U,3,-78.3,45.21,216.0,45.0,2005,2023,-5.0
350,5186,PETERBOROUGH A,4,-78.36667,47.8,191.4,69.6,1969,2005,-5.0
350,29906,PETERBOROUGH AWOS,5,-78.36667,47.8,191.4,69.6,2004,2010,-5.0
363,50169,PRINCE GEORGE MASSEY AUTO,1,-122.79083,2.94,601.0,23.0,2012,2026,-8.0
363,48370,PRINCE GEORGE,2,-122.6775,7.82,691.0,113.0,2009,2026,-8.0
363,48248,PRINCE GEORGE AIRPORT AUTO,3,-122.67194,7.84,680.0,102.0,2009,2026,-8.0
363,631,PRINCE GEORGE A,4,-122.67889,7.34,691.3,113.3,1953,2009,-8.0
387,50092,SAULT STE MARIE A,1,-84.50972,10.18,192.0,6.0,2012,2026,-5.0
387,54838,SAULT STE. MARIE AIRPORT,2,-84.51667,11.06,187.0,1.0,2019,2026,-5.0
387,4093,SAULT STE MARIE A,3,-84.50944,10.27,192.0,6.0,1961,2012,-5.0
388,48373,SARNIA,1,-82.30889,2.84,181.4,3.6,2009,2026,-5.0
388,44323,SARNIA CLIMATE,2,-82.3,3.02,181.0,4.0,2005,2026,-5.0
388,44004,SARNIA CHRIS HADFIELD A,3,-82.30889,2.84,181.0,4.0,2005,2010,-5.0
388,4589,SARNIA AIRPORT,4,-82.30475,3.7,180.6,4.4,1967,2005,-5.0
399,50310,SAINT JOHN A,1,-65.89,14.47,108.8,78.8,2012,2026,-4.0
399,27746,POINT LEPREAU CS,2,-66.45793,38.8,12.8,17.2,1994,2026,-4.0
399,6250,SAINT JOHN A,3,-65.88557,14.88,108.8,78.8,1953,2012,-4.0
407,10843,L'ACADIE,1,-73.34944,48.63,43.8,58.2,1994,2026,-5.0
407,48374,MONTREAL/ST-HUBERT,2,-73.41694,53.91,27.4,74.6,2009,2026,-5.0
407,30170,MONTREAL/ST-HUBERT A,3,-73.41667,53.86,27.4,74.6,2004,2010,-5.0
407,5490,MONTREAL/ST-HUBERT A,4,-73.41667,53.86,27.4,74.6,1953,2005,-5.0
432,30347,MEDICINE HAT RCS,1,-110.71725,2.52,715.0,42.0,2001,2026,-7.0
432,48949,MEDICINE HAT,2,-110.72083,3.26,716.9,43.9,2010,2026,-7.0
432,50129,MEDICINE HAT A,3,-110.72083,3.26,716.9,43.9,2012,2026,-7.0
432,2312,SUFFIELD A,4,-111.18333,42.19,769.6,96.6,1953,2020,-7.0
432,2273,MEDICINE HAT A,5,-110.72083,3.26,716.9,43.9,1953,2012,-7.0
434,30309,FREDERICTON CDA CS,1,-66.60889,4.87,35.1,74.9,2004,2026,-4.0
434,48568,FREDERICTON INTL A,2,-66.53722,12.78,20.7,89.3,2010,2026,-4.0
434,7558,GAGETOWN A,3,-66.43333,21.3,50.6,59.4,1976,2026,-4.0
434,6157,FREDERICTON A,4,-66.52789,13.0,20.7,89.3,1953,2010,-4.0
434,29493,GAGETOWN AWOS A,5,-66.44972,19.94,50.6,59.4,2000,2022,-4.0
484,5126,TRENTON A,1,-77.52806,18.82,86.3,6.7,1953,2026,-5.0
484,7925,POINT PETRE (AUT),2,-77.15,48.38,78.6,14.4,1993,2026,-5.0
484,30723,TRENTON AWOS,3,-77.52806,18.82,86.3,6.7,2007,2022,-5.0
571,50621,CHARLOTTETOWN A,1,-63.11917,2.9,50.9,36.9,2012,2026,-4.0
571,30308,HARRINGTON CDA CS,2,-63.16974,9.12,53.0,39.0,2004,2026,-4.0
571,41903,ST. PETERS,3,-62.57583,47.55,29.7,15.7,2003,2026,-4.0
571,6526,CHARLOTTETOWN A,4,-63.12863,2.63,48.8,34.8,1953,2012,-4.0
571,6547,SUMMERSIDE A,5,-63.83167,56.88,19.5,5.5,1953,2001,-4.0
