location_id,center_lat,center_lng,offset_km,matched
169,38.4088,-121.3716,1.33,True
170,35.7915,-78.7811,3.98,True
171,36.9804,-76.4297,13.43,True
172,44.9429,-123.0351,2.32,True
173,41.7606,-88.3201,2.51,True
174,38.4405,-122.7144,0.93,True
175,44.0521,-123.0867,2.63,True
176,34.1064,-117.5931,3.64,True
177,26.0032,-80.2239,11.69,True
178,32.5251,-93.7502,7.58,True
179,43.9001,-78.8496,4.33,True
180,33.6306,-112.3332,11.91,True
181,45.4001,-71.8991,5.03,True
182,40.5853,-105.0844,4.44,True
183,35.8456,-86.3903,2.94,True
184,33.1959,-117.3795,7.52,True
185,33.7739,-117.9415,1.84,True
186,34.698,-118.1367,3.56,True
187,37.2153,-93.2982,2.4,True
188,33.2148,-97.1331,0.82,True
189,38.7521,-121.288,3.4,True
190,46.49,-80.99,13.01,True
191,31.1171,-97.7278,4.4,True
192,34.5794,-118.1165,1.64,True
193,40.9168,-74.1718,0.79,True
194,33.8753,-117.5664,1.48,True
195,38.8048,-77.0469,3.57,True
196,32.7763,-79.9327,6.86,True
197,36.6777,-121.6555,2.38,True
198,39.1142,-94.6275,9.91,True
199,32.8407,-83.6324,6.76,True
200,37.6688,-122.0808,5.1,True
201,26.0112,-80.1495,2.67,True
202,39.7047,-105.0814,3.17,True
203,37.3688,-122.0363,2.09,True
204,42.1015,-72.5898,4.39,True
205,47.6104,-122.2007,3.6,True
206,49.058,-122.2526,2.9,True
207,41.7859,-88.1473,4.26,True
208,41.1792,-73.1894,1.05,True
209,41.5252,-88.0834,5.46,True
210,32.7668,-96.5992,1.62,True
211,26.2034,-98.23,2.89,True
212,38.8814,-94.8191,0.11,True
213,46.8033,-71.1779,11.63,True
214,32.0835,-81.0998,11.9,True
215,29.6516,-82.3248,3.76,True
216,49.2846,-122.7822,4.63,True
217,29.6911,-95.2091,6.89,True
218,28.0345,-80.5887,11.6,True
219,44.4001,-79.6663,4.41,True
220,34.0553,-117.7523,0.89,True
